,att_id,att_name,att_cat,att_price
0,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42
1,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42
2,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92
3,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24
4,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89
5,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92
6,3290,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,recommended_experiences,149.89
7,1301,niagara_falls_day_tour_from_toronto,tours_&_sightseeing,94.92
8,570,st._lawrence_market_and_old_toronto_food_tour,"food,_wine_&_nightlife",89.0
9,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99
10,70,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",149.89
11,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99
12,1600,toronto_small-group_city_tour,tours_&_sightseeing,168.37
13,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41
14,1304,quebec_city_walking_tour,tours_&_sightseeing,30.99
15,2180,overnight_camping_and_river-rafting_trip_in_squamish,water_sports,425.24
16,1187,overnight_camping_and_river-rafting_trip_in_squamish,outdoor_activities,425.24
17,3289,quebec_city_walking_tour,recommended_experiences,30.99
18,3311,st._lawrence_market_and_old_toronto_food_tour,recommended_experiences,89.0
19,666,flavors_of_old_montreal_walking_tour,"food,_wine_&_nightlife",68.0
20,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0
21,566,niagara_falls_day_tour_from_toronto,"food,_wine_&_nightlife",94.92
22,2578,overnight_camping_and_river-rafting_trip_in_squamish,multi-day_&_extended_tours,425.24
23,2240,quebec_city_walking_tour,family_friendly,30.99
